Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestLogout,Chrome 65.0.3325.181,,2018-05-09 15:05:51,2018-05-09 15:08:00,2m - 9.180s,PASSED
,,,,,,
Test Cases/TESTCASE-D,Chrome 65.0.3325.181,"When the user clicks logout button, the system will return to the login page.",2018-05-09 15:05:52,2018-05-09 15:06:40,48.589s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-05-09 15:05:52,2018-05-09 15:05:57,5.073s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-05-09 15:05:57,2018-05-09 15:06:36,39.120s,PASSED
setText,Chrome 65.0.3325.181,,2018-05-09 15:06:36,2018-05-09 15:06:37,0.500s,PASSED
setText,Chrome 65.0.3325.181,,2018-05-09 15:06:37,2018-05-09 15:06:37,0.315s,PASSED
click,Chrome 65.0.3325.181,,2018-05-09 15:06:37,2018-05-09 15:06:37,0.220s,PASSED
click,Chrome 65.0.3325.181,,2018-05-09 15:06:38,2018-05-09 15:06:39,1.728s,PASSED
verifyElementText,Chrome 65.0.3325.181,,2018-05-09 15:06:39,2018-05-09 15:06:39,0.097s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-05-09 15:06:39,2018-05-09 15:06:40,1.066s,PASSED
,,,,,,
Test Cases/TESTCASE-D,Chrome 65.0.3325.181,"When the user clicks logout button, the system will return to the login page.",2018-05-09 15:06:40,2018-05-09 15:07:16,35.865s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-05-09 15:06:40,2018-05-09 15:06:44,3.530s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-05-09 15:06:44,2018-05-09 15:07:13,28.981s,PASSED
setText,Chrome 65.0.3325.181,,2018-05-09 15:07:13,2018-05-09 15:07:13,0.355s,PASSED
setText,Chrome 65.0.3325.181,,2018-05-09 15:07:13,2018-05-09 15:07:14,0.293s,PASSED
click,Chrome 65.0.3325.181,,2018-05-09 15:07:14,2018-05-09 15:07:14,0.139s,PASSED
click,Chrome 65.0.3325.181,,2018-05-09 15:07:14,2018-05-09 15:07:15,1.282s,PASSED
verifyElementText,Chrome 65.0.3325.181,,2018-05-09 15:07:15,2018-05-09 15:07:15,0.100s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-05-09 15:07:15,2018-05-09 15:07:16,1.159s,PASSED
,,,,,,
Test Cases/TESTCASE-D,Chrome 65.0.3325.181,"When the user clicks logout button, the system will return to the login page.",2018-05-09 15:07:16,2018-05-09 15:08:00,44.190s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-05-09 15:07:16,2018-05-09 15:07:20,3.353s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-05-09 15:07:20,2018-05-09 15:07:54,34.053s,PASSED
setText,Chrome 65.0.3325.181,,2018-05-09 15:07:54,2018-05-09 15:07:54,0.359s,PASSED
setText,Chrome 65.0.3325.181,,2018-05-09 15:07:54,2018-05-09 15:07:54,0.228s,PASSED
click,Chrome 65.0.3325.181,,2018-05-09 15:07:54,2018-05-09 15:07:55,0.218s,PASSED
click,Chrome 65.0.3325.181,,2018-05-09 15:07:55,2018-05-09 15:07:59,4.871s,PASSED
verifyElementText,Chrome 65.0.3325.181,,2018-05-09 15:07:59,2018-05-09 15:07:59,0.075s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-05-09 15:07:59,2018-05-09 15:08:00,0.988s,PASSED
