Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestShowALLTransactionsAfterAdminClickTotalTransaction,Chrome 66.0.3359.139,"If the user login to the admin page, when open the \u201CTotal Transaction\u201D menu, all the carts,\nwhich have been added must be shown with the summaries of all carts.",2018-05-09 11:58:44,2018-05-09 11:59:05,21.288s,FAILED
,,,,,,
Test Cases/TESTCASE6,Chrome 66.0.3359.139,,2018-05-09 11:58:44,2018-05-09 11:59:04,20.304s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 11:58:44,2018-05-09 11:58:47,2.772s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 11:58:47,2018-05-09 11:59:02,14.527s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 11:59:02,2018-05-09 11:59:02,0.205s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 11:59:02,2018-05-09 11:59:02,0.123s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 11:59:02,2018-05-09 11:59:02,0.115s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 11:59:02,2018-05-09 11:59:03,1.156s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 11:59:03,2018-05-09 11:59:03,0.063s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 11:59:03,2018-05-09 11:59:04,1.071s,FAILED
