Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestShowMessagesAfterUserEmptiesBoxes,Chrome 66.0.3359.139,"At the login page, The user can login to the system\nIf the user empties the user name box, the warning message \u201CUsername is required\u201D is\nshown\n If the user empties the password box, the warning message \u201CPassword is required\u201D is\nshown",2018-05-09 16:21:17,2018-05-09 16:22:11,54.438s,PASSED
,,,,,,
Test Cases/TESTCASE4,Chrome 66.0.3359.139,"At the login page, The user can login to the system\n\nIf the user empties the user name box, the warning message \u201CUsername is required\u201D is\nshown\n If the user empties the password box, the warning message \u201CPassword is required\u201D is\nshown",2018-05-09 16:21:17,2018-05-09 16:22:11,54.075s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 16:21:18,2018-05-09 16:21:20,2.799s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 16:21:20,2018-05-09 16:21:45,24.969s,PASSED
doubleClick,Chrome 66.0.3359.139,,2018-05-09 16:21:45,2018-05-09 16:21:55,10.163s,PASSED
doubleClick,Chrome 66.0.3359.139,,2018-05-09 16:21:55,2018-05-09 16:22:06,10.070s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 16:22:06,2018-05-09 16:22:11,5.088s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 16:22:11,2018-05-09 16:22:11,0.055s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 16:22:11,2018-05-09 16:22:11,0.046s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 16:22:11,2018-05-09 16:22:11,0.649s,PASSED
