Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestUserRoleLoginShowMenus,Chrome 66.0.3359.139,,2018-05-09 11:06:35,2018-05-09 11:06:55,19.312s,FAILED
,,,,,,
Test Cases/TESTCASE3,Chrome 66.0.3359.139,,2018-05-09 11:06:36,2018-05-09 11:06:43,7.730s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 11:06:36,2018-05-09 11:06:39,2.916s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 11:06:39,2018-05-09 11:06:43,4.322s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 11:06:43,2018-05-09 11:06:43,0.181s,FAILED
,,,,,,
Test Cases/TESTCASE3,Chrome 66.0.3359.139,,2018-05-09 11:06:43,2018-05-09 11:06:55,11.275s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 11:06:43,2018-05-09 11:06:46,2.497s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 11:06:46,2018-05-09 11:06:52,6.531s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 11:06:52,2018-05-09 11:06:52,0.145s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 11:06:52,2018-05-09 11:06:53,0.116s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 11:06:53,2018-05-09 11:06:53,0.104s,PASSED
verifyElementClickable,Chrome 66.0.3359.139,,2018-05-09 11:06:53,2018-05-09 11:06:54,1.082s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 11:06:54,2018-05-09 11:06:54,0.043s,PASSED
verifyElementClickable,Chrome 66.0.3359.139,,2018-05-09 11:06:54,2018-05-09 11:06:54,0.031s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 11:06:54,2018-05-09 11:06:54,0.039s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 11:06:54,2018-05-09 11:06:55,0.659s,PASSED
